GEOID,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_black,beta_fb,beta_rural,beta_income,beta_lnpop,beta_poverty,se_Intercept,se_black,se_fb,se_rural,se_income,se_lnpop,se_poverty,t_Intercept,t_black,t_fb,t_rural,t_income,t_lnpop,t_poverty,p_Intercept,p_black,p_fb,p_rural,p_income,p_lnpop,p_poverty,sumW_Intercept,sumW_black,sumW_fb,sumW_rural,sumW_income,sumW_lnpop,sumW_poverty
13001.0,1288971.03547242,1056992.39185969,-0.8483460962336846,-0.26408350784094525,-0.7286285808870642,-0.11971751534662045,0.7803995525823925,-0.07432717187226079,0.40000382150988606,0.0016587588728094686,-0.01065404432608158,0.6987005836547716,0.06565786304375713,0.089665301067406,0.041766683962522866,0.12799278278352058,0.03939729390045825,0.04226283678794324,0.0910869719898019,0.055482001416381446,0.060682622241886315,-1.7795803932855756,3.125206068739273,0.042103370779742175,-0.25209013724135454,7.67069722916026,1.1834083372553175,1.4776108505989105,0.07706698657340921,0.002114790980430189,0.966469452117823,0.8012990158696549,1.6485830880265318e-12,0.23842484010519543,0.1415025472300603,89.69081487681254,17.420484313020204,89.69081487681254,77.00790761930426,27.877347260658105,89.69081487681254,89.69081487681254
13003.0,1240696.14513375,999300.048102144,-0.9319463595973724,-0.15459526173129523,-0.7472691333569497,-0.1846772262404227,0.7220153174913666,-0.06846003477288794,0.27338964617855444,0.0015931542040342464,-0.015753694497404255,0.5923007134191947,0.061403380051693594,0.08794610998036084,0.04217486226046056,0.11121223708426638,0.039771633050430064,0.042157759948100525,0.10506747302776989,0.05551760576044172,0.060973204234802174,-1.6232426403694515,2.4582694615827663,0.04005755061689676,-0.3736843351449004,5.6373366214170435,1.106016356624761,1.4423731060891682,0.10653105325568951,0.015040576228612077,0.9680978161227777,0.7091401214436859,7.75512237187274e-08,0.2704006405192378,0.15117652390815844,89.05378958201106,17.789623288280076,89.05378958201106,80.41888625187337,25.554005360987617,89.05378958201106,89.05378958201106
13005.0,1276778.58032506,1033232.09802434,-1.0676970916849884,-0.6612079790341017,-0.5810850781830723,-0.4866120135019161,0.7626573106438912,-0.07217638015952134,0.3782446959189266,0.0012596054019764135,-0.012622210664748792,0.6596657492756672,0.06455486699387498,0.08904788998260224,0.04186074360466106,0.12634754230170123,0.03951893517459048,0.04212015710283162,0.09491682729682363,0.0554437626239905,0.06074244440093986,-1.7242020552994841,2.9936846338944076,0.031873465122772414,-0.29967150013075894,6.949934675047264,1.1643305565618687,1.4659912168635811,0.08662718989358571,0.0032000007592977806,0.9746131874205319,0.7648216025851128,9.05587804498432e-11,0.24604515148064954,0.14463801724677622,89.93099010833359,16.049350563897324,89.93099010833359,79.30614971327206,27.59820324122954,89.93099010833359,89.93099010833359
13007.0,1093110.30631173,983290.678588754,-0.5698587890358598,0.22199209407327358,-0.5585071943729061,-0.011351594662953768,0.6930656758001355,-0.05863722312475119,-0.03432733708422697,0.011310115637080054,-0.017512178477152807,0.6506505383263543,0.04559185326223402,0.08527015358490542,0.04446741756255333,0.08833269580256863,0.04076562525100144,0.04408502393776069,0.09886306959708736,0.05679713897645975,0.06267819628621912,-1.3186559134508962,-0.3886141679741282,0.27744246696675434,-0.39723645158674586,6.5813305309865004,0.802713905732648,1.3604436412866834,0.1891923550901064,0.6980847510822588,0.7818030536434337,0.6917292043811731,6.516734049706546e-10,0.4233459199806201,0.1756272491685624,75.17363262077353,19.397724592947668,75.17363262077353,67.65662441965094,27.98619361595501,75.17363262077353,75.17363262077353
13009.0,1179536.618105,1190272.44813991,0.08083172104554612,-0.24583904612087162,0.2446027142932574,-0.16377099324771127,0.8906267495896241,-0.08679912399542815,0.09461348062199335,0.01904111682555292,0.028226206778595286,1.0675014945881809,0.04313242035508257,0.10311435606736741,0.04462828761941209,0.08366139872978569,0.03954242432005718,0.04583752586009413,0.08731531068543363,0.05815082236211721,0.06335577534885668,-1.9449351213214128,1.130909619711013,0.48153640432953065,0.6157881833488934,12.225822552862619,0.7417336265081181,1.6275446950114265,0.05355832001484777,0.259806822197008,0.6308015783679408,0.5389203811926886,1.2975817713201794e-24,0.4593498650201624,0.10561401039414774,76.39525255501539,14.544800212907582,76.39525255501539,65.7857149364944,21.467998701447247,76.39525255501539,76.39525255501539
13011.0,1137920.4681776,1329520.54270662,-0.4261868597434376,-0.10267812141893351,-0.3940175981544823,-0.032169261588955333,0.9078281558248439,-0.06904434206617446,0.03668535772141418,0.003562584899399311,0.08931173686147148,1.1751270724807565,0.031925547257754074,0.11241587005035303,0.044767420567363526,0.06976783055610772,0.040986496227781485,0.044612848447713,0.0809225866365373,0.05842317096514761,0.0641505338114829,-1.542289932972135,0.525820531167464,0.0869209429271614,2.0019285916286274,14.52162024625861,0.5464535171635803,1.7523762215401963,0.12500362000319168,0.5997501340833298,0.9308444119627569,0.04700373955900332,6.7851982871700335e-31,0.5855250748303036,0.08164899882958603,83.88670187217107,18.879873055938955,83.88670187217107,77.71911406006305,27.712049181306543,83.88670187217107,83.88670187217107
13013.0,1123627.99348901,1286957.51846833,0.03795622361374295,-0.5057995903730418,0.33450168625492516,-0.2965454626411822,0.9113231312291776,-0.07136480077582179,0.16910241407729112,0.007048189394255357,0.08059474017174031,1.1956341505669037,0.031557410419338024,0.11228439353709328,0.044751579061415386,0.07004178729042233,0.04034016489619981,0.044307788755629365,0.08132774770239648,0.058324449710821784,0.06410244490085987,-1.5946878807982041,2.414307524394292,0.1747189039110577,1.8189745513197302,14.701429516308515,0.5410665780097831,1.7516397964344588,0.11278043616708695,0.0169079329827696,0.861524199419776,0.07080870568786923,2.208301408239321e-31,0.5892237279603789,0.08177607228807836,87.79558700460338,16.565938410828338,87.79558700460338,82.62080957347939,25.998287095232623,87.79558700460338,87.79558700460338
13015.0,1017791.23026984,1301384.90050976,0.2858467039092982,-0.1538765918862502,0.30039712045840555,-0.014550416549107326,0.9091197408026704,-0.06457003185874943,0.16367211530501757,0.004902883643634793,0.08691294491910403,1.1663447359618968,0.027868151248962577,0.10955093093300662,0.04450444450396308,0.06342414907826475,0.03969514065544948,0.044666813965177264,0.0808321327600321,0.058090896036454606,0.06399313976725256,-1.4508670443690075,2.5805961559381405,0.12351344680174874,1.945805782943514,14.429221352162596,0.47973354088864595,1.7119167981357202,0.14879933776687235,0.010772793548756392,0.901857508817751,0.05345267146786857,1.2090359094597906e-30,0.6320802878280296,0.08887405556533966,87.1798833293109,18.320490751906608,87.1798833293109,76.18806950200178,29.18763469990327,87.1798833293109,87.1798833293109
13017.0,1201793.20336312,1045954.85698732,-0.6001507969717451,0.08970462959529357,-0.5316206955885439,-0.06853010138320126,0.6866751980542515,-0.07029349557903516,0.09447775048248379,0.005954117607798048,-0.013333509474066384,0.6575426723548631,0.05656000022220452,0.08782149806008821,0.04226299060417436,0.1114520318067353,0.03924745818212008,0.04201341929294086,0.10721643591384145,0.05569003651233478,0.0611731510137161,-1.6632399783864846,0.8476987718475518,0.1517070883971426,-0.3173631115596129,6.132853295769511,1.0156215324024263,1.4356216183860968,0.09824673005827514,0.39788804976517567,0.8796115019360985,0.7513870911577324,6.651205935327137e-09,0.3113623522086618,0.15308680453214105,92.48231201947644,15.430094008348552,92.48231201947644,82.56827264535825,23.32008557465646,92.48231201947644,92.48231201947644
13019.0,1208150.95331282,992463.289298688,-0.651275580014578,0.15643546117152585,-0.6683341408515,0.017058560836922032,0.689601137374602,-0.06641521913545725,0.15309401996140237,0.002928474991469231,-0.01739376303720578,0.5922701328761637,0.058339680649359786,0.08717418599525129,0.042477148780306596,0.10011347283065232,0.03990062361821553,0.04234853548788299,0.10804846566917216,0.05566575778274529,0.061214717802562546,-1.5635517223380329,1.5292049674509811,0.07339421607767344,-0.41072879703673776,5.481522844476145,1.048035326799114,1.4240723330035843,0.11992358377889509,0.1282132199983692,0.941585252697791,0.6818278903280812,1.6358191742023926e-07,0.29622286270459103,0.15639748391092217,88.11598297694022,17.392410820101304,88.11598297694022,79.60411767415704,24.217491507365168,88.11598297694022,88.11598297694022
