ai,std_ai,t_value,p_values,significance
0.8718458961293973,0.27715813431558967,3.145662306763325,0.0016842646164236807,1
0.8718458961293973,0.27715813431558967,3.145662306763325,0.0016842646164236807,1
0.8718458961293973,0.27715813431558967,3.145662306763325,0.0016842646164236807,1
2.0747160159379803,0.2744469666813184,7.559624509703886,6.394884621840902e-14,1
2.0747160159379803,0.2744469666813184,7.559624509703886,6.394884621840902e-14,1
2.0747160159379803,0.2744469666813184,7.559624509703886,6.394884621840902e-14,1
3.119772526090756,0.27228126531137403,11.457903732462322,0.0,1
3.119772526090756,0.27228126531137403,11.457903732462322,0.0,1
3.119772526090756,0.27228126531137403,11.457903732462322,0.0,1
4.039186550569617,0.27455126568215316,14.711957493744599,0.0,1
4.039186550569617,0.27455126568215316,14.711957493744599,0.0,1
4.039186550569617,0.27455126568215316,14.711957493744599,0.0,1
5.297727709041681,0.2733426620300782,19.381269172167233,0.0,1
5.297727709041681,0.2733426620300782,19.381269172167233,0.0,1
5.297727709041681,0.2733426620300782,19.381269172167233,0.0,1
6.37325558172151,0.2742152822523877,23.241795750302373,0.0,1
6.37325558172151,0.2742152822523877,23.241795750302373,0.0,1
6.37325558172151,0.2742152822523877,23.241795750302373,0.0,1
7.233560253212198,0.29896957932235996,24.194970838195907,0.0,1
7.233560253212198,0.29896957932235996,24.194970838195907,0.0,1
7.233560253212198,0.29896957932235996,24.194970838195907,0.0,1
9.256147897516993,0.294625752356536,31.416628802752566,0.0,1
9.256147897516993,0.294625752356536,31.416628802752566,0.0,1
9.256147897516993,0.294625752356536,31.416628802752566,0.0,1
10.112441596225137,0.27967293214215116,36.15809910086408,0.0,1
10.112441596225137,0.27967293214215116,36.15809910086408,0.0,1
10.112441596225137,0.27967293214215116,36.15809910086408,0.0,1
12.28915908734432,0.28248651535534386,43.5035246616484,0.0,1
12.28915908734432,0.28248651535534386,43.5035246616484,0.0,1
12.28915908734432,0.28248651535534386,43.5035246616484,0.0,1
13.65464089073906,0.2908489242228339,46.94753789179415,0.0,1
13.65464089073906,0.2908489242228339,46.94753789179415,0.0,1
13.65464089073906,0.2908489242228339,46.94753789179415,0.0,1
14.859044872205136,0.30914320065506196,48.0652488578737,0.0,1
