id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_x1,beta_x2,beta_x3,beta_x4,se_Intercept,se_x1,se_x2,se_x3,se_x4,t_Intercept,t_x1,t_x2,t_x3,t_x4,p_Intercept,p_x1,p_x2,p_x3,p_x4,sumW_Intercept,sumW_x1,sumW_x2,sumW_x3,sumW_x4
1.0,1.0,1.0,-1.4127294086368167,-0.2561345039498659,-1.2922906459649206,-0.12043876267189613,0.8000978094540026,-0.8719770778684514,0.12254281546409491,0.11874192019197495,0.12889137107537305,0.03827612844095344,0.017993928563355965,0.011305681622594613,0.010182009615328549,0.01159717436841129,0.008294472913576482,-48.45951648625545,10.839047087544978,11.661933614088758,11.114032347952877,4.614654703170187,6.016012667723782e-253,8.184462173809701e-26,2.2997056384121088e-29,5.592921631977141e-27,4.509556277754641e-06,17.112002963200204,25.96719215312518,25.96719215312518,25.96719215312518,48.884930936031694
2.0,1.0,2.0,-1.301151098468244,-0.10554988828795175,-1.2853723975500588,-0.015778700918185118,0.8420789503399669,-0.8631048625928502,0.12154986719302327,0.11741068427556574,0.12718603099407616,0.03747818565457809,0.018023025837095943,0.011435212044700308,0.010264872567321275,0.011726337769049095,0.008304343621014607,-47.88900989179976,10.629437103385941,11.438104419274373,10.846185185776877,4.513082233222797,1.298487471763512e-249,6.116590415718046e-25,2.2209781217766527e-28,7.638650409963408e-26,7.237438668694337e-06,17.731252787500157,26.187459866319838,26.187459866319838,26.187459866319838,51.43920029481138
3.0,1.0,3.0,-1.3417291617772003,0.12505752079268118,-1.3764964541955345,0.034767292418334206,0.8663464728237509,-0.8470692656481569,0.11940060766828808,0.11498957562681925,0.12322567468087849,0.03654253042724226,0.01779020356404877,0.011373217490281372,0.010168388676407491,0.01168946544932198,0.008323717921907076,-47.61436610876965,10.498401861242709,11.308534644590834,10.541600487644702,4.390169245291997,5.305400943347804e-248,2.1183253488610774e-24,8.1336418910206e-28,1.4083284521160451e-24,1.2671836535379056e-05,19.112657253703794,28.823439096802076,28.823439096802076,28.823439096802076,52.91278975843836
4.0,1.0,4.0,-1.2542299208811838,-0.10517038012395763,-1.2523756083867172,-0.0018543124944665479,0.893898500066884,-0.8266939248347629,0.11680604232257509,0.11248907684771975,0.11927127169992922,0.035121421915373645,0.01766083972814625,0.011470840736291675,0.01019375117913998,0.011781653309286447,0.008309818231695357,-46.80943474716283,10.182866714644708,11.035101295969652,10.123474912126136,4.226497010658225,2.952971958187679e-243,4.017685972419334e-23,1.2144196421248995e-26,6.936706080382451e-23,2.615937406158627e-05,17.52913490511312,28.157918668787175,28.157918668787175,28.157918668787175,55.15990228842318
5.0,1.0,5.0,-1.1729402440708836,-0.12075957022076311,-1.1561001791247563,-0.01684006494612733,0.9166738286725941,-0.7944315077405808,0.11265011681712708,0.10923483402612597,0.11388506644825941,0.03349021938619392,0.017195105429114635,0.011359810187199648,0.010139370089257704,0.011820885014982392,0.008344323771374252,-46.20102569394281,9.916549216998574,10.773335331931154,9.63422504354925,4.0135330679622365,1.202196391632045e-239,4.560868487721087e-22,1.5424855398770779e-25,5.669377993759e-21,6.479882837906216e-05,16.325446702958825,28.47897188504796,28.47897188504796,28.47897188504796,54.83773294019059
6.0,1.0,6.0,-1.1340926361495853,-0.0019116836143142635,-1.0873644557640805,-0.04672818038550486,0.9382308647868641,-0.7559473026780554,0.10632013524200051,0.1055285771539543,0.10698000237676036,0.031250662434203255,0.01651301348546876,0.011577494254304715,0.0102679383223468,0.01212117389108523,0.008387299424497804,-45.7788824155736,9.183345973371468,10.277484519388418,8.825878032773792,3.7259504940202386,3.9446796260776093e-237,2.8130805834418085e-19,1.6745909004318952e-23,5.582671853293732e-18,0.00020672410395964337,15.764802798080233,24.849498886853365,24.849498886853365,24.849498886853365,54.041308955480275
7.0,1.0,7.0,-1.105142248567012,0.022203435149378725,-1.108503947318689,0.0033616987516771335,0.9494180481526135,-0.7143567504098214,0.09737105818048747,0.10152585151678303,0.10028181052693605,0.02836659276569828,0.015759747570703832,0.011467553713241842,0.01025204076750847,0.012197994367668255,0.008518437060138892,-45.32793099667129,8.491005197390173,9.90298944562787,8.221172063559964,3.3300231680335695,1.9680321811599412e-234,8.398446484332211e-17,5.154454632144793e-22,7.006071525782027e-16,0.0009037271187383467,15.764802798080233,24.3106295057503,24.3106295057503,24.3106295057503,51.07729291525964
8.0,1.0,8.0,-0.8629410360807825,-0.18728034401683258,-0.8744584727992867,0.011517436718504137,0.9582138926125837,-0.666668563528672,0.08962697656920471,0.09786894648688649,0.09639403923710543,0.025072318040154147,0.014966763813910737,0.011606166575357988,0.010348814039444732,0.01214686347914073,0.008664229531134503,-44.54326745699309,7.722358281458682,9.457020496634383,7.935714384428429,2.8937735259734225,1.0321234940935217e-229,3.040179653262943e-14,2.677311433897048e-20,6.209445938955565e-15,0.003898418699080189,15.764802798080233,24.3106295057503,24.3106295057503,24.3106295057503,49.236410428346495
9.0,1.0,9.0,-0.8230872311073089,-0.05758061414882132,-0.8151895879989112,-0.00789764310839769,0.9670080217447736,-0.6123592857551886,0.08333800723363749,0.09352855986970651,0.09393636763025276,0.02184039276161668,0.014162710802528426,0.011998759123319673,0.010661545886948284,0.012076916744346392,0.008755117744842356,-43.23743485928315,6.945552150611098,8.77251393573261,7.778174646623072,2.494585840890931,8.664487526617148e-222,7.226988958978525e-12,8.648890824401428e-18,2.01352973285807e-14,0.012788945635765478,15.764802798080233,24.3106295057503,24.3106295057503,24.3106295057503,49.41620309691407
10.0,1.0,10.0,-0.7103400063224076,0.0348969077553587,-0.7349220949859473,0.024582088663539725,0.9747836624207169,-0.5521240700697694,0.07817461083220345,0.08834646134571655,0.09093189735294911,0.018542015412556463,0.013390990102722877,0.01220383500439489,0.011216581307362064,0.012216135862740018,0.008910996316411575,-41.23101173508465,6.405741375891342,7.876416077662618,7.4435892310511305,2.080801602218961,1.891029539086879e-209,2.4099362478487264e-10,9.691033604616156e-15,2.2921518133884997e-13,0.03773468514056642,15.764802798080233,24.3106295057503,24.3106295057503,24.3106295057503,47.76666578673462
11.0,1.0,11.0,-0.6691252655863609,0.253184245072416,-0.6883066796982608,0.019181414111899886,0.9799760225424917,-0.48724828367234607,0.07423714840023134,0.08284117137701726,0.08688238860187245,0.01592096036264902,0.012829619111470625,0.012372269870785657,0.012030845909997695,0.012757628821873436,0.008917776197902029,-37.97839042912118,6.000285248830995,6.8857312276085105,6.810230162278222,1.7853061132431807,4.666808658308783e-189,2.853135706837411e-09,1.078881942376228e-11,1.781355124471598e-11,0.07454872086822416,15.764802798080233,24.3106295057503,24.3106295057503,24.3106295057503,47.76666578673462
12.0,1.0,12.0,-0.5449269433083175,0.03183466835049342,-0.5443668118748136,-0.0005601314335038632,0.9840517333731957,-0.4195366576840947,0.07087874739760794,0.07702038450899353,0.08131209565021943,0.01362153207793439,0.012500700293851436,0.012505959991755997,0.012805608810693429,0.013461201094233904,0.008880219985988277,-33.56105240683572,5.6675974850656505,6.014582020081468,6.040478489326588,1.5339183150222888,9.90189398116237e-161,1.9501034536050278e-08,2.621311853614777e-09,2.2472913956175086e-09,0.12540157746334288,15.764802798080233,24.3106295057503,24.3106295057503,24.3106295057503,47.76666578673463
13.0,1.0,13.0,-0.38952307651865703,-0.2049545489199545,-0.36294148015617556,-0.026581596362481474,0.9863043260208324,-0.347891577214195,0.06835173413189671,0.07313890469396575,0.07659628034242505,0.011477296311404789,0.012244799013533184,0.012573926230818547,0.013021709782435135,0.013874212164469478,0.008858224838597748,-28.41137505235477,5.43598975190163,5.61668981385395,5.520766111576465,1.2956654996376946,3.1896216260451246e-127,7.022178659145801e-08,2.5947982691437646e-08,4.4174249407037546e-08,0.19542332180943595,15.764802798080233,24.3106295057503,24.3106295057503,24.3106295057503,47.76666578673462
14.0,1.0,14.0,-0.314360704730166,0.11554643687291444,-0.32959363801081204,0.015232933280646066,0.9869629921511326,-0.27193613316082277,0.0671097104391737,0.07119259924780541,0.07396124692838549,0.00961302330705393,0.01194218913999873,0.012468749124984888,0.013211604746774654,0.013834407441944347,0.008875004085374893,-22.771045574048888,5.382232793881402,5.38864132044108,5.346181051755308,1.0831570571212712,5.559381805640346e-91,9.390755784075276e-08,9.072151559641391e-08,1.1395607765150599e-07,0.27902913742743646,15.764802798080233,24.3106295057503,24.3106295057503,24.3106295057503,47.76666578673462
15.0,1.0,15.0,-0.3029358040035808,0.12489856231635327,-0.2892875854796818,-0.01364821852389897,0.9867541913837632,-0.1903547964046191,0.06662959463573914,0.06823951067521658,0.07179489043274324,0.00841930802908995,0.011560058987809551,0.01210986814387086,0.013763698467864589,0.013850053172064739,0.008879361669466896,-16.46659386473324,5.502090843942196,4.957934150805602,5.183726700598666,0.9481884331889628,1.9120430802236674e-53,4.894954613344005e-08,8.515341435892507e-07,2.686932333464049e-07,0.34328834016154874,15.764802798080233,24.3106295057503,24.3106295057503,24.3106295057503,47.76666578673462
