-1.292177304291305395e-01,2.600615956305675214e-01,2.072864629992863528e-01,-5.755763307347354363e-02,-3.040985151710547812e-02,4.399133067126963920e-02,5.689989399595807296e-01
-1.292177304291305395e-01,2.600615956305675214e-01,2.072864629992863528e-01,-5.755763307347354363e-02,-3.040985151710547812e-02,4.399133067126963920e-02,5.689989399595807296e-01
-1.292177304291305395e-01,2.600615956305675214e-01,2.072864629992863528e-01,-5.755763307347354363e-02,-3.040985151710547812e-02,4.399133067126963920e-02,5.689989399595807296e-01
-1.292177304291305395e-01,2.600615956305675214e-01,2.072864629992863528e-01,-5.755763307347354363e-02,-3.040985151710547812e-02,4.399133067126963920e-02,5.689989399595807296e-01
-1.292177304291305395e-01,2.600615956305675214e-01,2.072864629992863528e-01,-5.755763307347354363e-02,-3.040985151710547812e-02,4.399133067126963920e-02,5.689989399595807296e-01
-9.486231373336684314e-02,1.528939316991732300e-01,1.891949134355494500e-01,-1.011763468180435499e-01,-6.812019627856143178e-02,4.721758383287927990e-02,4.013543666615128069e-01
-9.486231373336684314e-02,1.528939316991732300e-01,1.891949134355494500e-01,-1.011763468180435499e-01,-6.812019627856143178e-02,4.721758383287927990e-02,4.013543666615128069e-01
-9.486231373336684314e-02,1.528939316991732300e-01,1.891949134355494500e-01,-1.011763468180435499e-01,-6.812019627856143178e-02,4.721758383287927990e-02,4.013543666615128069e-01
-9.486231373336684314e-02,1.528939316991732300e-01,1.891949134355494500e-01,-1.011763468180435499e-01,-6.812019627856143178e-02,4.721758383287927990e-02,4.013543666615128069e-01
-9.486231373336684314e-02,1.528939316991732300e-01,1.891949134355494500e-01,-1.011763468180435499e-01,-6.812019627856143178e-02,4.721758383287927990e-02,4.013543666615128069e-01
-1.229175468842144681e-01,1.990805447704022124e-01,2.153803100412247651e-01,-7.782057144380943869e-02,-4.711152199473597063e-02,4.238539509373288189e-02,4.772006945699243108e-01
-1.229175468842144681e-01,1.990805447704022124e-01,2.153803100412247651e-01,-7.782057144380943869e-02,-4.711152199473597063e-02,4.238539509373288189e-02,4.772006945699243108e-01
