7.435960637065355816e-02,-3.693984902392405401e-02,-7.228810074918426420e-02,-6.225562549234293225e-02,7.211476603999859847e-02,2.582131795392353935e-01
7.435960637065355816e-02,-3.693984902392405401e-02,-7.228810074918426420e-02,-6.225562549234293225e-02,7.211476603999859847e-02,2.582131795392353935e-01
7.435960637065355816e-02,-3.693984902392405401e-02,-7.228810074918426420e-02,-6.225562549234293225e-02,7.211476603999859847e-02,2.582131795392353935e-01
7.435960637065355816e-02,-3.693984902392405401e-02,-7.228810074918426420e-02,-6.225562549234293225e-02,7.211476603999859847e-02,2.582131795392353935e-01
7.435960637065355816e-02,-3.693984902392405401e-02,-7.228810074918426420e-02,-6.225562549234293225e-02,7.211476603999859847e-02,2.582131795392353935e-01
2.217165534545393474e-02,-7.480967969726518528e-03,5.179763944748647098e-02,-9.015690862137493156e-02,-2.748531564019708953e-02,-6.124629471035453188e-02
2.217165534545393474e-02,-7.480967969726518528e-03,5.179763944748647098e-02,-9.015690862137493156e-02,-2.748531564019708953e-02,-6.124629471035453188e-02
2.217165534545393474e-02,-7.480967969726518528e-03,5.179763944748647098e-02,-9.015690862137493156e-02,-2.748531564019708953e-02,-6.124629471035453188e-02
2.217165534545393474e-02,-7.480967969726518528e-03,5.179763944748647098e-02,-9.015690862137493156e-02,-2.748531564019708953e-02,-6.124629471035453188e-02
2.217165534545393474e-02,-7.480967969726518528e-03,5.179763944748647098e-02,-9.015690862137493156e-02,-2.748531564019708953e-02,-6.124629471035453188e-02
5.743529650575143752e-02,-2.105558212247777769e-02,-7.873317203167529144e-03,-6.941145232019389766e-02,5.465273087198141422e-02,1.355574023562435837e-01
5.743529650575143752e-02,-2.105558212247777769e-02,-7.873317203167529144e-03,-6.941145232019389766e-02,5.465273087198141422e-02,1.355574023562435837e-01
5.743529650575143752e-02,-2.105558212247777769e-02,-7.873317203167529144e-03,-6.941145232019389766e-02,5.465273087198141422e-02,1.355574023562435837e-01
5.743529650575143752e-02,-2.105558212247777769e-02,-7.873317203167529144e-03,-6.941145232019389766e-02,5.465273087198141422e-02,1.355574023562435837e-01
5.743529650575143752e-02,-2.105558212247777769e-02,-7.873317203167529144e-03,-6.941145232019389766e-02,5.465273087198141422e-02,1.355574023562435837e-01
-1.345362483756224470e-01,9.051555397112277801e-02,1.247836614617059553e-01,-1.117321989007356436e-01,-4.685822604675567854e-02,-3.385905233116580648e-01
-1.345362483756224470e-01,9.051555397112277801e-02,1.247836614617059553e-01,-1.117321989007356436e-01,-4.685822604675567854e-02,-3.385905233116580648e-01
-1.345362483756224470e-01,9.051555397112277801e-02,1.247836614617059553e-01,-1.117321989007356436e-01,-4.685822604675567854e-02,-3.385905233116580648e-01
-1.345362483756224470e-01,9.051555397112277801e-02,1.247836614617059553e-01,-1.117321989007356436e-01,-4.685822604675567854e-02,-3.385905233116580648e-01
-1.345362483756224470e-01,9.051555397112277801e-02,1.247836614617059553e-01,-1.117321989007356436e-01,-4.685822604675567854e-02,-3.385905233116580648e-01
-8.632854035722342667e-02,-1.457105024650781622e-01,-1.203216175614767181e-01,-2.870493906745035309e-02,3.255216730976816519e-01,2.362035914717538487e-01
-8.632854035722342667e-02,-1.457105024650781622e-01,-1.203216175614767181e-01,-2.870493906745035309e-02,3.255216730976816519e-01,2.362035914717538487e-01
-8.632854035722342667e-02,-1.457105024650781622e-01,-1.203216175614767181e-01,-2.870493906745035309e-02,3.255216730976816519e-01,2.362035914717538487e-01
-8.632854035722342667e-02,-1.457105024650781622e-01,-1.203216175614767181e-01,-2.870493906745035309e-02,3.255216730976816519e-01,2.362035914717538487e-01
-8.632854035722342667e-02,-1.457105024650781622e-01,-1.203216175614767181e-01,-2.870493906745035309e-02,3.255216730976816519e-01,2.362035914717538487e-01
1.334266601991165035e-01,7.191850023086293620e-02,3.341845949183446796e-01,2.144538605622915206e+00,6.006176966360691344e-02,8.485244843863026798e-01
1.334266601991165035e-01,7.191850023086293620e-02,3.341845949183446796e-01,2.144538605622915206e+00,6.006176966360691344e-02,8.485244843863026798e-01
1.334266601991165035e-01,7.191850023086293620e-02,3.341845949183446796e-01,2.144538605622915206e+00,6.006176966360691344e-02,8.485244843863026798e-01
