-8.667674750394581906e+01,1.415337791402619949e+01,1.809234391571964196e+01,1.765823231217605382e+01,7.757887087090126421e+00
-8.667674750394581906e+01,1.415337791402619771e+01,1.809234391571964196e+01,1.765823231217605027e+01,7.757887087090125533e+00
-8.667674750394581906e+01,1.415337791402619949e+01,1.809234391571963840e+01,1.765823231217605382e+01,7.757887087090126421e+00
-8.611399322596994921e+01,1.387323809004893072e+01,1.773095129667412095e+01,1.732151973213777651e+01,7.640689605952013963e+00
-8.611399322596994921e+01,1.387323809004893427e+01,1.773095129667412095e+01,1.732151973213777651e+01,7.640689605952013963e+00
-8.611399322596994921e+01,1.387323809004893072e+01,1.773095129667412095e+01,1.732151973213777651e+01,7.640689605952013963e+00
-8.594825226508282867e+01,1.374785937659668278e+01,1.745063257395915457e+01,1.684690123589257382e+01,7.389308159052364822e+00
-8.594825226508282867e+01,1.374785937659668100e+01,1.745063257395915457e+01,1.684690123589257382e+01,7.389308159052363933e+00
-8.594825226508282867e+01,1.374785937659668278e+01,1.745063257395915457e+01,1.684690123589257382e+01,7.389308159052363933e+00
-8.486269463566108584e+01,1.331357541370730679e+01,1.697674743903343142e+01,1.580047506699298054e+01,7.076207279176756515e+00
-8.486269463566108584e+01,1.331357541370730679e+01,1.697674743903343142e+01,1.580047506699297699e+01,7.076207279176757403e+00
-8.486269463566108584e+01,1.331357541370730324e+01,1.697674743903342787e+01,1.580047506699297699e+01,7.076207279176756515e+00
-8.358837528588439625e+01,1.284356641291330803e+01,1.630046825663948695e+01,1.426141565346497053e+01,6.559701320147304671e+00
-8.358837528588439625e+01,1.284356641291330980e+01,1.630046825663949051e+01,1.426141565346497231e+01,6.559701320147305559e+00
-8.358837528588439625e+01,1.284356641291330803e+01,1.630046825663949406e+01,1.426141565346497053e+01,6.559701320147304671e+00
-8.225439911926949321e+01,1.236528951737313164e+01,1.532428297190135069e+01,1.311702452617490167e+01,5.577578397506529839e+00
-8.225439911926949321e+01,1.236528951737313342e+01,1.532428297190134714e+01,1.311702452617490167e+01,5.577578397506530727e+00
-8.225439911926949321e+01,1.236528951737313520e+01,1.532428297190134892e+01,1.311702452617489811e+01,5.577578397506529839e+00
-8.087850210737732937e+01,1.156469942197590051e+01,1.436174426172270380e+01,1.271235925516089793e+01,4.514833743530020982e+00
-8.087850210737732937e+01,1.156469942197590406e+01,1.436174426172270380e+01,1.271235925516089438e+01,4.514833743530020982e+00
-8.087850210737732937e+01,1.156469942197590051e+01,1.436174426172270380e+01,1.271235925516089438e+01,4.514833743530020094e+00
-7.880437066953224701e+01,1.037859351346011394e+01,1.352409495320154065e+01,1.223495588082246321e+01,3.793863249626550083e+00
-7.880437066953224701e+01,1.037859351346011394e+01,1.352409495320153887e+01,1.223495588082246321e+01,3.793863249626550083e+00
-7.880437066953224701e+01,1.037859351346011394e+01,1.352409495320154065e+01,1.223495588082246321e+01,3.793863249626550083e+00
-7.555881723363617652e+01,9.276787340295049589e+00,1.263220421079790334e+01,1.136206366080712016e+01,3.243423993716145759e+00
-7.555881723363617652e+01,9.276787340295049589e+00,1.263220421079790334e+01,1.136206366080712016e+01,3.243423993716145759e+00
-7.555881723363617652e+01,9.276787340295049589e+00,1.263220421079790334e+01,1.136206366080712016e+01,3.243423993716145759e+00
-7.086248809279831562e+01,8.403503865834480280e+00,1.161332971911345346e+01,1.042364040371228562e+01,2.699700983314889946e+00
-7.086248809279831562e+01,8.403503865834480280e+00,1.161332971911345346e+01,1.042364040371228562e+01,2.699700983314889502e+00
-7.086248809279831562e+01,8.403503865834480280e+00,1.161332971911345346e+01,1.042364040371228562e+01,2.699700983314889502e+00
-6.457589527333536239e+01,7.797386253934560862e+00,1.049502986738774091e+01,9.756558094496991629e+00,2.250120038824061197e+00
-6.457589527333536239e+01,7.797386253934562639e+00,1.049502986738774268e+01,9.756558094496993405e+00,2.250120038824061197e+00
-6.457589527333536239e+01,7.797386253934562639e+00,1.049502986738774268e+01,9.756558094496991629e+00,2.250120038824061197e+00
-5.697129376430180514e+01,7.490604935712440238e+00,9.387152819793202596e+00,9.353095035794247281e+00,0.000000000000000000e+00
-5.697129376430180514e+01,7.490604935712440238e+00,9.387152819793204372e+00,9.353095035794245504e+00,0.000000000000000000e+00
-5.697129376430180514e+01,7.490604935712440238e+00,9.387152819793204372e+00,9.353095035794245504e+00,0.000000000000000000e+00
-4.822489167605908023e+01,7.362090598768531891e+00,8.550648427092497172e+00,8.849033072983205628e+00,0.000000000000000000e+00
-4.822489167605908023e+01,7.362090598768531891e+00,8.550648427092500725e+00,8.849033072983205628e+00,0.000000000000000000e+00
-4.822489167605908023e+01,7.362090598768531891e+00,8.550648427092498949e+00,8.849033072983203851e+00,0.000000000000000000e+00
-3.838650952692864848e+01,7.319447626756423020e+00,7.881856822268238361e+00,8.017644848643081801e+00,0.000000000000000000e+00
-3.838650952692864848e+01,7.319447626756423020e+00,7.881856822268240137e+00,8.017644848643083577e+00,0.000000000000000000e+00
-3.838650952692864848e+01,7.319447626756423020e+00,7.881856822268238361e+00,8.017644848643083577e+00,0.000000000000000000e+00
-2.708359219993599609e+01,7.157750738406725155e+00,7.266673784862481611e+00,7.288156882891684063e+00,0.000000000000000000e+00
-2.708359219993599609e+01,7.157750738406725155e+00,7.266673784862479835e+00,7.288156882891684063e+00,0.000000000000000000e+00
-2.708359219993599609e+01,7.157750738406725155e+00,7.266673784862479835e+00,7.288156882891684063e+00,0.000000000000000000e+00
-1.410392651709335965e+01,6.886647921061046063e+00,6.940406140223963405e+00,6.894477999888330544e+00,0.000000000000000000e+00
-1.410392651709335965e+01,6.886647921061046063e+00,6.940406140223964293e+00,6.894477999888330544e+00,0.000000000000000000e+00
-1.410392651709335965e+01,6.886647921061046063e+00,6.940406140223964293e+00,6.894477999888330544e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.720411383487108203e+00,6.988673603416479807e+00,6.887431781694692390e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.720411383487107315e+00,6.988673603416478031e+00,6.887431781694691502e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.720411383487107315e+00,6.988673603416479807e+00,6.887431781694692390e+00,0.000000000000000000e+00
1.390021036817757150e+01,6.568616490062634483e+00,7.380157978893342019e+00,7.346158955450944106e+00,0.000000000000000000e+00
1.390021036817757150e+01,6.568616490062634483e+00,7.380157978893342019e+00,7.346158955450944106e+00,0.000000000000000000e+00
1.390021036817757150e+01,6.568616490062634483e+00,7.380157978893342019e+00,7.346158955450944106e+00,0.000000000000000000e+00
2.716790931955853949e+01,6.353522732702180598e+00,8.185552938449786708e+00,8.199813828597031673e+00,0.000000000000000000e+00
2.716790931955853949e+01,6.353522732702178821e+00,8.185552938449784932e+00,8.199813828597031673e+00,0.000000000000000000e+00
2.716790931955853949e+01,6.353522732702180598e+00,8.185552938449786708e+00,8.199813828597031673e+00,0.000000000000000000e+00
3.903176825603412681e+01,6.431784095692945513e+00,9.465326244277353140e+00,9.263101592968107312e+00,2.127417638957659118e+00
3.903176825603412681e+01,6.431784095692945513e+00,9.465326244277353140e+00,9.263101592968109088e+00,2.127417638957658674e+00
3.903176825603412681e+01,6.431784095692945513e+00,9.465326244277353140e+00,9.263101592968105535e+00,2.127417638957659118e+00
4.931714224521549994e+01,7.454503572575661430e+00,1.119890973560796610e+01,1.047071832239909206e+01,3.095423786628003882e+00
4.931714224521549994e+01,7.454503572575661430e+00,1.119890973560796610e+01,1.047071832239909206e+01,3.095423786628003882e+00
4.931714224521549994e+01,7.454503572575663206e+00,1.119890973560796610e+01,1.047071832239909028e+01,3.095423786628003882e+00
5.782402364150642882e+01,9.228174273879675482e+00,1.310633401536921383e+01,1.203050979198006409e+01,4.274831422915701395e+00
5.782402364150642882e+01,9.228174273879675482e+00,1.310633401536921561e+01,1.203050979198006409e+01,4.274831422915701395e+00
5.782402364150642882e+01,9.228174273879675482e+00,1.310633401536921383e+01,1.203050979198006409e+01,4.274831422915702284e+00
6.446643807375038193e+01,1.095039529287296709e+01,1.496935593966315636e+01,1.427487504949359653e+01,5.677695523962897894e+00
6.446643807375038193e+01,1.095039529287297064e+01,1.496935593966315636e+01,1.427487504949359831e+01,5.677695523962897894e+00
6.446643807375038193e+01,1.095039529287296709e+01,1.496935593966315636e+01,1.427487504949359831e+01,5.677695523962897006e+00
6.933284112121559417e+01,1.268096054386258231e+01,1.664610930821847745e+01,1.690818029477808082e+01,7.462134369615148977e+00
6.933284112121559417e+01,1.268096054386257876e+01,1.664610930821847745e+01,1.690818029477808082e+01,7.462134369615148977e+00
6.933284112121559417e+01,1.268096054386258054e+01,1.664610930821847745e+01,1.690818029477808082e+01,7.462134369615148977e+00
7.282754878477850013e+01,1.438379756024724543e+01,1.894488822858921040e+01,1.968730119681596946e+01,9.682328360502335585e+00
7.282754878477850013e+01,1.438379756024724543e+01,1.894488822858921040e+01,1.968730119681596946e+01,9.682328360502332032e+00
7.282754878477850013e+01,1.438379756024724543e+01,1.894488822858921040e+01,1.968730119681596946e+01,9.682328360502335585e+00
7.615307341161209820e+01,1.628624437243409062e+01,2.152824057227091004e+01,2.310834413210637095e+01,1.177285446735080399e+01
7.615307341161209820e+01,1.628624437243409062e+01,2.152824057227091004e+01,2.310834413210637095e+01,1.177285446735080399e+01
7.615307341161209820e+01,1.628624437243409062e+01,2.152824057227091004e+01,2.310834413210637095e+01,1.177285446735080221e+01
