8.377520596964352251e+00,2.639213581507674888e+01,5.856889912710531121e+01,0.000000000000000000e+00
8.377520596964354027e+00,2.639213581507674888e+01,5.856889912710531121e+01,0.000000000000000000e+00
8.377520596964354027e+00,2.639213581507674533e+01,5.856889912710531121e+01,0.000000000000000000e+00
8.150569712265969713e+00,2.678891402892245921e+01,5.852040282800454918e+01,0.000000000000000000e+00
8.150569712265969713e+00,2.678891402892245921e+01,5.852040282800454918e+01,0.000000000000000000e+00
8.150569712265969713e+00,2.678891402892245921e+01,5.852040282800453497e+01,0.000000000000000000e+00
8.835300629549049489e+00,2.696757438004128815e+01,5.886321340725208273e+01,0.000000000000000000e+00
8.835300629549049489e+00,2.696757438004128815e+01,5.886321340725208273e+01,0.000000000000000000e+00
8.835300629549047713e+00,2.696757438004129526e+01,5.886321340725208273e+01,0.000000000000000000e+00
8.407466570003204964e+00,2.733292022782785224e+01,5.911084465894806783e+01,0.000000000000000000e+00
8.407466570003206741e+00,2.733292022782785580e+01,5.911084465894806783e+01,0.000000000000000000e+00
8.407466570003204964e+00,2.733292022782785224e+01,5.911084465894808204e+01,0.000000000000000000e+00
9.245645770971307797e+00,2.753946777885969155e+01,5.959487083498757443e+01,0.000000000000000000e+00
9.245645770971307797e+00,2.753946777885969155e+01,5.959487083498757443e+01,0.000000000000000000e+00
9.245645770971307797e+00,2.753946777885968444e+01,5.959487083498757443e+01,0.000000000000000000e+00
1.028608088369404960e+01,2.788056269036468038e+01,5.977625417363655203e+01,0.000000000000000000e+00
1.028608088369404783e+01,2.788056269036468038e+01,5.977625417363655203e+01,0.000000000000000000e+00
1.028608088369405138e+01,2.788056269036468038e+01,5.977625417363655203e+01,0.000000000000000000e+00
1.108418732909638926e+01,2.825580400348492915e+01,6.035140729074496591e+01,0.000000000000000000e+00
1.108418732909639104e+01,2.825580400348492915e+01,6.035140729074496591e+01,0.000000000000000000e+00
1.108418732909639104e+01,2.825580400348492915e+01,6.035140729074496591e+01,0.000000000000000000e+00
1.130644742142068182e+01,2.831865998943435159e+01,6.085902647302762603e+01,0.000000000000000000e+00
1.130644742142067827e+01,2.831865998943435159e+01,6.085902647302762603e+01,0.000000000000000000e+00
1.130644742142068360e+01,2.831865998943434448e+01,6.085902647302762603e+01,0.000000000000000000e+00
1.118663094187606433e+01,2.872703147872780960e+01,6.126088057577791801e+01,0.000000000000000000e+00
1.118663094187606610e+01,2.872703147872780960e+01,6.126088057577792512e+01,0.000000000000000000e+00
1.118663094187606433e+01,2.872703147872780960e+01,6.126088057577791801e+01,0.000000000000000000e+00
1.123840016097200412e+01,2.878025774799780834e+01,6.160218174842720629e+01,2.148397572524764598e+00
1.123840016097200234e+01,2.878025774799780834e+01,6.160218174842720629e+01,2.148397572524764598e+00
1.123840016097199879e+01,2.878025774799781544e+01,6.160218174842720629e+01,2.148397572524764598e+00
1.132675304222044765e+01,2.864782560922644805e+01,6.195284638185523107e+01,2.191881161153559354e+00
1.132675304222044765e+01,2.864782560922644805e+01,6.195284638185523107e+01,2.191881161153558466e+00
1.132675304222044765e+01,2.864782560922644095e+01,6.195284638185524528e+01,2.191881161153559354e+00
1.092896416692125960e+01,2.833687467193152898e+01,6.240749941210124518e+01,2.183905435451513721e+00
1.092896416692125960e+01,2.833687467193152898e+01,6.240749941210125229e+01,2.183905435451513721e+00
1.092896416692125960e+01,2.833687467193152187e+01,6.240749941210124518e+01,2.183905435451513721e+00
1.023065533947729655e+01,2.792797197276515675e+01,6.273113626295343437e+01,2.104060746510707069e+00
1.023065533947729655e+01,2.792797197276515675e+01,6.273113626295344858e+01,2.104060746510707069e+00
1.023065533947729655e+01,2.792797197276515675e+01,6.273113626295344858e+01,2.104060746510707069e+00
1.011857442812899244e+01,2.787040457896558721e+01,6.288659723840838467e+01,0.000000000000000000e+00
1.011857442812899421e+01,2.787040457896558721e+01,6.288659723840837046e+01,0.000000000000000000e+00
1.011857442812899421e+01,2.787040457896558721e+01,6.288659723840837046e+01,0.000000000000000000e+00
1.080469571968744624e+01,2.789687936928771350e+01,6.281179900388689674e+01,0.000000000000000000e+00
1.080469571968744802e+01,2.789687936928771350e+01,6.281179900388689674e+01,0.000000000000000000e+00
1.080469571968744624e+01,2.789687936928772061e+01,6.281179900388689674e+01,0.000000000000000000e+00
1.135724624898863411e+01,2.799240937262042905e+01,6.279987657882153940e+01,0.000000000000000000e+00
1.135724624898863411e+01,2.799240937262042905e+01,6.279987657882155361e+01,0.000000000000000000e+00
1.135724624898863233e+01,2.799240937262042550e+01,6.279987657882155361e+01,0.000000000000000000e+00
1.151445902876212735e+01,2.814651015858591165e+01,6.285407553048563756e+01,0.000000000000000000e+00
1.151445902876212912e+01,2.814651015858590455e+01,6.285407553048562335e+01,0.000000000000000000e+00
1.151445902876212912e+01,2.814651015858591165e+01,6.285407553048563756e+01,0.000000000000000000e+00
1.155766423216243588e+01,2.839910617722808084e+01,6.267549439119517984e+01,0.000000000000000000e+00
1.155766423216243410e+01,2.839910617722808084e+01,6.267549439119517984e+01,0.000000000000000000e+00
1.155766423216243588e+01,2.839910617722808084e+01,6.267549439119517984e+01,0.000000000000000000e+00
1.144136830623643242e+01,2.922486442798700779e+01,6.232195732332568383e+01,0.000000000000000000e+00
1.144136830623643419e+01,2.922486442798700779e+01,6.232195732332568383e+01,0.000000000000000000e+00
1.144136830623643419e+01,2.922486442798701489e+01,6.232195732332568383e+01,0.000000000000000000e+00
1.118280043116952882e+01,3.006105214631141465e+01,6.182651537438304246e+01,0.000000000000000000e+00
1.118280043116952882e+01,3.006105214631141465e+01,6.182651537438305667e+01,0.000000000000000000e+00
1.118280043116953060e+01,3.006105214631141465e+01,6.182651537438304246e+01,0.000000000000000000e+00
1.083247763261219099e+01,3.079137583053638494e+01,6.143778452244637123e+01,0.000000000000000000e+00
1.083247763261219276e+01,3.079137583053637783e+01,6.143778452244637123e+01,0.000000000000000000e+00
1.083247763261219276e+01,3.079137583053637783e+01,6.143778452244638544e+01,0.000000000000000000e+00
1.033590053707652778e+01,3.134779131491505666e+01,6.105784968400516988e+01,0.000000000000000000e+00
