"GEOID","x","y","bachelor","popu","lnpop","age65","black","fb","rural","poverty","income","year","bachelor_mean","fb_mean","age65_mean","black_mean","rural_mean","income_mean","poverty_mean","lnpop_mean","bachelor_within","fb_within","age65_within","black_within","rural_within","income_within","poverty_within","lnpop_within","eventid"
13001,1288971.03547242,1056992.39185969,-0.494842765178647,-0.331946713598257,-0.629911262245394,-0.277441646813085,-0.538235167592162,-0.210954056778835,0.932454613759106,-0.0284031895552276,-0.72270191926045,2015,-0.670592361820008,-0.097097161576782,-0.0259414499535197,-0.560193880232575,0.932454613759106,-0.573584227645348,0.191407053079908,-0.628965569348142,0.175749596641361,-0.113856895202053,-0.251500196859565,0.0219587126404135,0,-0.149117691615101,-0.219810242635136,-0.000945692897252548,1
13001,1288971.03547242,1056992.39185969,-0.606791758819631,-0.331997508546763,-0.630221041450434,-0.140914556030001,-0.575514244216537,-0.0581933698362167,0.932454613759106,-0.0653289622236188,-0.624893540889254,2016,-0.670592361820008,-0.097097161576782,-0.0259414499535197,-0.560193880232575,0.932454613759106,-0.573584227645348,0.191407053079908,-0.628965569348142,0.0638006030003767,0.0389037917405653,-0.114973106076481,-0.0153203639839621,0,-0.0513093132439059,-0.256736015303527,-0.00125547210229215,2
13001,1288971.03547242,1056992.39185969,-0.604426778094507,-0.331554866852639,-0.627525487053409,0.0212011312592627,-0.596796859643845,-0.131901389699137,0.932454613759106,0.527719934153453,-0.553506670289037,2017,-0.670592361820008,-0.097097161576782,-0.0259414499535197,-0.560193880232575,0.932454613759106,-0.573584227645348,0.191407053079908,-0.628965569348142,0.0661655837255007,-0.0348042281223546,0.0471425812127824,-0.0366029794112697,0,0.020077557356311,0.336312881073545,0.00144008229473236,3
13001,1288971.03547242,1056992.39185969,-0.848366274671621,-0.331678226013296,-0.628275811342779,0.0972331872935263,-0.576137764525895,-0.158249581100668,0.932454613759106,0.320044457014588,-0.47277815841887,2018,-0.670592361820008,-0.097097161576782,-0.0259414499535197,-0.560193880232575,0.932454613759106,-0.573584227645348,0.191407053079908,-0.628965569348142,-0.177773912851613,-0.0611524195238864,0.123174637247046,-0.0159438842933195,0,0.100806069226478,0.12863740393468,0.000689758005362529,4
13001,1288971.03547242,1056992.39185969,-0.798534232335633,-0.331779815910308,-0.628894244648692,0.170214634522698,-0.514285365184437,0.0738125895309465,0.932454613759106,0.203003026010345,-0.49404084936913,2019,-0.670592361820008,-0.097097161576782,-0.0259414499535197,-0.560193880232575,0.932454613759106,-0.573584227645348,0.191407053079908,-0.628965569348142,-0.127941870515625,0.170909751107729,0.196156084476218,0.0459085150481379,0,0.0795433782762182,0.0115959729304372,7.13246994495931e-05,5
13003,1240696.14513375,999300.048102144,-0.973621437715935,-0.405403465559167,-0.956755458380995,-1.19283873678062,-0.63268866176541,1.99643755962599,0.932454613759106,1.10264274948492,-1.3414113690426,2015,-0.962715109505952,1.86365655797714,-0.907610899957308,-0.602089757472207,0.932454613759106,-1.05591965763439,1.11458874126739,-0.958549410805569,-0.0109063282099836,0.13278100164885,-0.285227836823309,-0.0305989042932033,0,-0.285491711408211,-0.0119459917824674,0.00179395242457414,6
13003,1240696.14513375,999300.048102144,-1.15073280451064,-0.405592132510761,-0.95931393517362,-1.09380753480996,-0.583521658319451,1.92325225930293,0.932454613759106,0.939156220577127,-1.37515281959974,2016,-0.962715109505952,1.86365655797714,-0.907610899957308,-0.602089757472207,0.932454613759106,-1.05591965763439,1.11458874126739,-0.958549410805569,-0.188017695004686,0.0595957013257926,-0.186196634852654,0.0185680991527556,0,-0.319233161965345,-0.17543252069026,-0.000764524368051633,7
13003,1240696.14513375,999300.048102144,-0.999848020766712,-0.405265593556079,-0.954890869190031,-0.854174392055416,-0.587039579460969,1.74244001882328,0.932454613759106,0.911568919809953,-1.1756320933714,2017,-0.962715109505952,1.86365655797714,-0.907610899957308,-0.602089757472207,0.932454613759106,-1.05591965763439,1.11458874126739,-0.958549410805569,-0.0371329112607601,-0.12121653915386,0.0534365079018919,0.0150501780112372,0,-0.119712435737004,-0.203019821457435,0.00365854161553802,8
13003,1240696.14513375,999300.048102144,-0.933998985801891,-0.405613901774406,-0.959609661610923,-0.794533476952036,-0.591405302094422,1.84979814847029,0.932454613759106,1.28785820041786,-0.855994591709292,2018,-0.962715109505952,1.86365655797714,-0.907610899957308,-0.602089757472207,0.932454613759106,-1.05591965763439,1.11458874126739,-0.958549410805569,0.0287161237040603,-0.0138584095068504,0.113077423005272,0.0106844553777842,0,0.1999250659251,0.173269459150468,-0.0010602508053541,9
13003,1240696.14513375,999300.048102144,-0.755374298734583,-0.405802568726,-0.962177129672275,-0.602700359188508,-0.61579358572078,1.8063548036632,0.932454613759106,1.33171761604708,-0.531407414448931,2019,-0.962715109505952,1.86365655797714,-0.907610899957308,-0.602089757472207,0.932454613759106,-1.05591965763439,1.11458874126739,-0.958549410805569,0.207340810771369,-0.0573017543139318,0.3049105407688,-0.0137038282485736,0,0.524512243185461,0.217128874779694,-0.00362771886670643,10
